"","X","ID","duration","gender","age","ager","plz","state","urban","edu","res","s5_5t","att_organic","att_glypho","att_pest","att_smallfarm","att_tech","att_fert","awareness","knowledge","imp_aesth","imp_food","imp_water","imp_recr","imp_flood","imp_drought","imp_climate","imp_soc_climate","imp_soc_food","imp_soc_water","imp_soc_flood","imp_soc_drought","imp_per_climate","imp_per_food","imp_per_water","imp_per_flood","imp_per_drought","exp_flood","exp_drought","resp_pol","resp_con","resp_ret","resp_prod","motive_1","motive_2","motive_3","motive_4","motive_5","motive_6","motive_7","motive_8","motive_9","motive_10","motive_11","motive_12","motive_13","motive_14","motive_15","motive_16","motive_17","motive_18","INS","ICS","member","donation","farmer","livestock","no_ag","empl","income","marital","hh_size","childr","sd7","sys_RespNum","sys_ElapsedTime","q1","q2","q3","q4","q5","q6","q7","q8","q9","BLOCK","sys_pagetime_Random1","sys_pagetime_Random2","sys_pagetime_Random3","sys_pagetime_Random4","sys_pagetime_Fixed1","sys_pagetime_Random5","sys_pagetime_Random6","sys_pagetime_Random7","sys_pagetime_Random8"
"14",14,14,303,0,36,3,"60439","he",1,"hauptschule","rented_flat"," ",0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,"retired","below_1000","single",1,NA,NA,257,75,3,3,1,1,1,1,1,1,1,17,17,8,9,4,4,4,3,7,3
"15",15,15,267,1,35,3,"65527","he",1,"realschule","rented_flat"," ",3,2,4,4,4,3,2,3,4,5,5,4,4,4,3,4,5,4,4,5,4,4,5,5,5,0,0,3,3,4,4,3,3,3,3,4,2,4,4,3,3,4,4,4,4,2,3,3,3,4,2,0,0,0,0,1,"fulltime","2000_2500","single",1,NA,NA,640,53,2,1,2,2,1,3,1,2,1,10,5,3,4,3,2,3,4,3,4
"16",16,16,1054,1,28,2,"52499","nw",1,"realschule","rented_house"," ",5,5,5,5,5,4,4,1,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,0,0,5,5,3,3,1,3,3,3,5,4,4,5,4,2,3,5,5,2,5,5,5,5,3,2,0,0,0,0,1,"fulltime","3500_5000","married",4,3,NA,504,224,1,2,1,2,2,2,2,1,2,24,50,38,19,19,12,13,14,19,20
"17",17,17,851,1,55,5,"49624","ni",0,"realschule","own_house"," ",5,5,5,5,5,5,5,3,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,1,3,3,3,3,2,4,5,5,3,5,5,5,3,5,4,5,5,7,5,0,1,0,0,1,"fulltime","3500_5000","married",2,1,NA,1215,165,1,1,1,2,2,1,1,2,1,15,15,10,10,9,27,19,14,12,14
"18",18,18,33229,1,33,3,"45329","nw",1,"realschule","rented_flat"," ",4,4,4,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,2,3,3,3,3,4,4,3,3,4,3,3,3,4,3,3,4,3,5,4,0,0,0,0,1,"parttime","2500_3500","partnership",3,2,NA,870,32926,3,2,2,2,2,1,2,2,2,30,32861,7,4,4,4,7,4,8,4
"19",19,19,346,0,24,2,"90537","ba",1,"realschule","rented_house"," ",5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,4,4,5,4,4,4,5,4,3,5,2,5,3,4,4,5,4,4,4,3,3,4,7,1,0,0,0,0,1,"fulltime","2000_2500","partnership",2,1,NA,1071,93,2,1,2,1,1,2,2,1,1,21,21,13,10,8,6,3,5,8,7
"20",20,20,333,1,28,2,"13409","be",1,"realschule","rented_flat"," ",3,4,4,5,4,5,3,3,4,3,4,4,3,4,4,2,2,0,4,3,3,4,5,3,3,1,1,4,3,4,5,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,0,0,0,0,1,"fulltime","1500_2000","single",1,NA,NA,634,87,1,2,2,1,3,1,1,2,1,4,9,18,8,6,7,4,4,7,9
"21",21,21,1399,0,56,5,"53859","nw",1,"university","own_house"," ",4,5,5,5,5,4,5,3,1,4,4,3,4,4,5,5,4,4,5,5,5,5,5,5,5,0,0,4,5,5,4,1,1,1,1,1,1,5,5,3,2,4,4,4,2,4,3,4,4,5,4,0,0,0,0,1,"fulltime","5000_above","married",3,1,NA,1521,703,1,1,1,1,1,2,2,1,1,21,79,77,325,24,33,25,31,16,28
"22",22,22,472,0,31,3,"45721","nw",0,"university","rented_flat"," ",5,4,4,5,3,4,3,5,4,5,4,4,3,5,4,4,4,4,3,5,3,4,3,4,5,3,3,4,5,5,4,5,4,4,3,4,5,5,4,5,4,4,4,4,4,4,2,5,4,3,2,1,1,1,0,0,"fulltime","2500_3500","married",2,1,NA,700,233,1,2,2,2,3,3,3,2,2,10,8,14,5,9,19,145,7,7,7
"23",23,23,1154,1,66,6,"94535","ba",1,"realschule","own_house"," ",5,5,4,5,4,5,5,2,3,4,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,1,0,3,5,5,3,3,2,5,3,3,3,3,3,0,3,2,2,2,1,4,4,4,5,7,3,0,0,0,0,1,"retired","1000_1500","married",2,1,NA,1017,377,1,2,1,2,1,1,2,2,2,27,82,47,40,30,14,19,27,25,20
"24",24,24,796,0,31,3,"02956","sn",1,"realschule","own_house"," ",1,5,5,5,2,5,3,3,1,5,5,3,5,5,5,5,5,5,5,5,1,5,5,2,5,0,0,1,5,5,5,5,3,4,3,5,5,4,4,5,3,2,2,5,2,3,2,5,5,7,7,0,0,0,0,1,"fulltime","2000_2500","married",3,2,NA,1090,158,2,2,2,3,3,1,2,3,1,10,51,9,9,10,12,17,11,16,13
"26",26,26,452,0,41,4,"12619","be",1,"realschule","rented_flat"," ",0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,0,0,5,5,0,0,0,4,4,0,0,0,3,3,3,3,0,3,3,0,0,0,3,2,3,0,2,1,3,2,4,0,3,3,1,1,0,0,0,0,1,"fulltime","1000_1500","single",1,NA,NA,861,94,2,1,1,1,1,1,2,1,1,21,18,8,5,5,4,10,9,6,5
"27",27,27,471,1,39,3,"74889","bw",1,"fachabitur","rented_flat"," ",2,3,3,5,3,3,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,2,5,1,5,1,5,5,4,5,5,5,5,3,1,2,1,1,5,5,5,5,5,6,1,0,0,1,0,0,"parttime","below_1000","married",4,3,NA,1265,113,2,2,1,3,2,1,2,2,2,5,21,9,6,6,4,6,6,4,4
"28",28,28,813,1,62,6,"28201","hb",1,"realschule","rented_flat"," ",0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,3,3,2,2,0,0,0,0,1,"unemployed","below_1000","divorced_widowed",1,NA,NA,417,389,3,3,1,3,1,1,3,3,3,27,20,14,125,31,62,9,73,14,9
"29",29,29,1211,0,36,3,"37077","ni",1,"realschule","rented_flat"," ",4,3,3,3,4,3,3,3,2,3,3,4,2,3,3,3,2,3,3,3,3,2,3,3,3,0,0,3,3,4,3,2,4,3,3,3,3,2,3,2,3,4,3,3,2,3,3,3,3,4,4,0,0,0,0,1,"fulltime","2500_3500","married",4,3,NA,690,814,2,3,1,1,2,2,1,2,2,30,57,7,474,31,168,4,4,7,7
"30",30,30,409,0,31,3,"77974","bw",1,"hauptschule","rented_flat"," ",3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,0,0,0,0,1,"fulltime","2500_3500","married",2,1,NA,34,125,1,1,1,1,1,1,2,1,1,4,20,13,14,11,14,4,15,13,13
"31",31,31,1660,0,54,5,"95682","ba",1,"realschule","rented_house"," ",1,5,3,3,3,3,2,4,3,5,5,5,4,3,1,1,5,5,4,3,1,5,4,3,1,0,1,4,3,2,5,5,5,5,1,4,5,1,1,1,4,2,1,1,4,2,3,1,3,5,2,0,0,0,0,1,"fulltime","2500_3500","married",4,2,NA,1092,955,3,3,3,3,3,3,3,3,2,12,35,3,2,9,4,787,56,16,15
"32",32,32,788,0,47,4,"04886","sn",1,"hauptschule","own_house"," ",3,5,5,5,3,5,3,2,3,5,5,3,4,3,4,4,5,5,3,4,4,5,5,3,3,0,0,4,3,3,3,2,0,3,0,3,0,0,0,0,3,0,3,1,2,4,0,4,3,7,5,0,0,0,0,1,"fulltime","1500_2000","married",3,2,NA,802,183,1,2,2,2,1,1,2,1,1,22,39,22,17,10,8,7,8,9,10
"33",33,33,695,1,45,4,"13187","be",1,"abitur","rented_flat"," ",4,4,4,3,0,3,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,0,0,4,3,3,4,0,3,0,5,3,2,3,4,4,3,4,4,1,3,4,3,0,4,6,4,0,1,0,0,1,"fulltime","2500_3500","divorced_widowed",3,3,NA,6,248,1,3,3,3,1,3,3,1,3,6,90,18,22,8,11,5,5,17,14
"34",34,34,699,0,62,6,"56154","rp",0,"hauptschule","rented_flat"," ",4,5,4,3,4,5,4,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,3,5,4,4,5,3,5,5,5,5,5,3,5,4,3,4,3,2,4,4,3,5,5,5,3,0,0,0,0,1,"retired","below_1000","divorced_widowed",1,NA,NA,997,187,3,3,3,3,3,3,3,3,3,7,53,10,12,12,10,7,7,16,11
"35",35,35,724,1,55,5,"14552","bb",0,"university","own_house"," ",3,4,4,4,4,3,2,3,4,5,5,5,4,4,4,4,5,5,4,4,4,5,5,4,4,0,0,4,5,5,4,2,2,2,2,2,2,4,4,4,3,3,3,3,3,4,2,3,4,5,4,0,0,0,0,1,"retired","5000_above","married",2,1,NA,1627,222,2,1,1,2,1,1,2,1,2,7,44,24,32,14,21,21,11,17,17
"36",36,36,3985,1,20,2,"75177","bw",1,"realschule","own_flat"," ",4,0,0,3,5,0,1,1,4,5,5,5,5,3,4,5,5,5,5,5,5,4,5,5,5,0,0,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,5,0,0,0,0,1,"fulltime","below_1000","single",3,1,NA,822,237,2,3,3,3,1,2,2,1,2,12,91,37,6,4,24,12,15,14,12
"37",37,37,808,1,57,5,"41061","nw",1,"abitur","rented_flat"," ",5,5,5,5,3,5,4,2,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,4,4,2,0,3,5,3,5,1,2,1,4,4,2,5,4,5,2,4,4,4,1,5,2,4,5,7,3,0,0,0,0,1,"retired","below_1000","single",1,NA,NA,1378,174,1,1,1,1,1,2,2,1,2,28,13,8,10,12,21,15,7,8,7
"39",39,39,812,1,65,6,"47249","nw",1,"realschule","rented_flat"," ",4,5,5,5,3,5,3,2,4,5,5,5,5,4,4,5,5,5,5,5,5,4,5,3,4,0,0,3,3,3,3,3,3,4,2,3,4,3,3,3,3,4,3,2,3,4,3,3,4,5,5,0,0,0,0,1,"retired","2000_2500","married",2,1,NA,478,220,3,1,2,2,3,2,1,2,2,28,49,50,30,15,15,9,7,19,11
"40",40,40,615,0,58,5,"59067","nw",1,"university","rented_flat"," ",5,5,5,4,4,4,3,2,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,3,3,0,0,4,5,5,3,2,1,3,3,0,0,4,5,3,3,3,4,3,3,4,0,4,4,4,3,0,1,0,0,1,"fulltime","2000_2500","married",1,NA,NA,1439,190,2,1,1,1,1,2,1,1,1,29,41,16,8,5,8,49,8,7,5
"41",41,41,862,0,62,6,"59075","nw",1,"hauptschule","own_flat"," ",5,5,5,5,5,5,3,2,1,5,5,1,5,5,5,5,5,5,5,5,4,4,4,4,4,0,0,5,5,5,5,1,1,5,1,5,5,5,5,5,1,5,5,5,1,5,1,5,5,6,6,0,0,0,0,1,"fulltime","1000_1500","single",1,NA,NA,1155,267,1,1,1,1,1,1,1,2,2,15,53,45,23,18,34,20,11,28,24
"42",42,42,1117,0,39,3,"52525","nw",1,"hauptschule","rented_house"," ",5,5,5,5,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,2,1,3,2,1,4,1,4,3,4,2,4,3,4,1,4,2,4,5,5,1,0,0,0,0,1,"fulltime","2500_3500","married",4,3,NA,522,280,1,2,1,1,1,2,2,1,2,12,53,30,35,32,17,32,20,30,15
"43",43,43,951,1,70,6,"98529","th",0,"polyt_oberschule","own_house"," ",4,3,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4,0,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,4,5,4,5,5,4,0,0,0,0,1,"retired","2000_2500","divorced_widowed",1,NA,NA,1220,245,2,2,1,1,1,1,1,2,1,20,63,27,17,59,18,9,8,14,11
"44",44,44,910,0,59,5,"73630","bw",1,"university","own_house"," ",5,5,5,4,5,5,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,3,5,5,4,3,1,1,3,2,4,2,4,3,5,2,5,5,4,2,5,1,5,5,7,3,0,0,0,0,1,"fulltime","3500_5000","married",3,1,NA,1303,247,2,2,2,2,1,1,2,1,2,13,53,32,21,26,28,16,10,16,7
"45",45,45,713,1,67,6,"49219","ni",1,"hauptschule","rented_flat"," ",5,4,4,4,3,4,3,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,0,0,5,4,5,5,3,3,5,4,4,3,4,4,4,3,4,4,3,5,5,5,3,5,6,4,0,0,0,0,1,"retired","3500_5000","divorced_widowed",2,1,NA,20,180,2,2,2,1,2,1,1,1,1,20,38,15,16,23,17,11,21,12,15
"46",46,46,361,0,19,2,"84144","ba",1,"realschule","own_house"," ",4,3,2,4,1,5,3,2,3,5,3,3,4,5,2,3,4,3,5,5,4,3,4,4,3,0,1,5,4,5,3,4,3,4,5,2,3,3,1,4,5,4,2,3,4,3,2,5,3,4,4,0,0,0,0,1,"fulltime","3500_5000","single",3,1,NA,119,59,1,2,1,2,1,2,1,1,2,29,24,3,3,6,3,2,3,3,5
"47",47,47,508,0,65,6,"55743","rp",1,"hauptschule","rented_flat"," ",3,5,5,5,2,5,3,3,2,5,5,4,4,5,4,5,5,5,4,5,5,5,5,5,5,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,0,0,0,0,1,"retired","2000_2500","married",2,1,NA,722,110,1,2,2,2,1,1,2,1,1,2,22,14,7,5,10,12,7,7,12
"48",48,48,320,0,32,3,"26969","ni",1,"fachabitur","rented_flat"," ",3,3,2,1,3,2,4,3,1,1,2,3,1,3,2,5,4,4,2,4,2,4,2,4,3,3,2,4,4,3,5,4,1,3,2,3,4,3,4,5,3,3,4,5,3,5,3,4,5,3,3,0,0,1,0,0,"fulltime","below_1000","single",2,1,NA,624,132,1,2,2,2,1,1,2,1,1,24,18,6,16,5,5,4,5,5,4
"49",49,49,465,0,22,2,"52428","nw",1,"realschule","own_house"," ",2,4,4,5,4,2,3,3,4,4,5,2,5,4,4,4,5,5,4,4,4,5,5,3,4,0,3,4,4,3,4,2,3,5,2,3,4,4,4,4,1,4,4,3,2,2,5,2,3,5,2,0,1,0,0,1,"fulltime","2000_2500","single",1,NA,NA,838,101,2,1,2,2,1,2,2,2,2,28,21,8,15,7,7,4,5,7,6
"50",50,50,955,1,53,5,"15299","bb",1,"polyt_oberschule","rented_flat"," ",5,5,4,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,5,5,1,3,5,5,2,1,3,3,5,4,3,4,2,4,4,5,4,5,5,7,0,0,1,0,0,"retired","1000_1500","married",1,NA,NA,769,229,3,1,1,3,1,3,2,3,3,19,36,16,21,13,11,20,11,26,11
"51",51,51,1762,0,55,5,"64342","he",1,"fachabitur","own_flat"," ",5,3,3,5,4,5,2,2,3,3,5,3,5,5,5,5,3,5,4,4,5,2,5,2,3,0,0,5,5,5,5,1,1,4,1,2,1,2,2,3,2,3,3,5,1,5,2,5,5,2,1,0,0,0,0,1,"unemployed","1500_2000","single",1,NA,NA,1500,784,1,1,1,1,2,2,2,2,2,30,125,180,133,51,34,41,23,57,25
"52",52,52,619,1,40,4,"77855","bw",1,"realschule","own_flat"," ",1,4,4,5,3,2,4,2,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,0,0,4,5,5,4,3,3,5,4,4,2,2,4,4,1,4,4,4,2,4,0,4,5,5,2,0,0,1,0,0,"parttime","2500_3500","married",4,3,NA,856,175,2,2,2,2,1,1,1,1,1,16,21,15,12,12,15,8,11,12,9
"53",53,53,670,0,47,4,"68519","he",1,"hauptschule","rented_flat"," ",4,5,5,5,5,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,4,3,3,3,5,0,4,4,0,4,4,4,0,0,0,3,3,4,5,0,5,0,6,7,0,0,0,0,1,"parttime","2500_3500","partnership",2,1,NA,219,181,3,3,3,3,3,3,3,3,3,9,46,12,11,9,11,16,7,11,11
"54",54,54,795,1,69,6,"41065","nw",1,"realschule","own_flat"," ",5,5,5,5,4,5,3,2,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,0,0,5,3,3,5,2,3,1,4,4,0,5,4,4,3,4,2,3,3,5,3,5,5,6,3,0,1,0,0,1,"retired","1000_1500","divorced_widowed",1,NA,NA,578,292,1,2,2,1,1,1,2,1,2,8,36,68,19,26,19,45,15,34,11
"55",55,55,364,0,32,3,"99425","th",1,"hauptschule","rented_house"," ",5,0,0,0,5,0,1,1,1,5,5,5,2,1,5,5,5,5,2,5,5,5,5,5,5,0,0,5,1,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,6,4,0,1,0,0,1,"student","below_1000","single",5,4,NA,354,57,3,3,1,2,3,3,3,3,3,24,15,8,5,4,3,2,3,3,3
"56",56,56,579,0,43,4,"04838","sn",1,"abitur","rented_flat"," ",5,5,5,4,5,4,4,3,2,4,4,3,4,5,4,5,4,5,4,5,4,4,5,2,5,2,3,5,3,3,5,3,1,1,1,2,1,5,4,4,3,3,5,5,3,5,2,5,3,6,4,0,0,0,0,1,"fulltime","2000_2500","married",5,4,NA,1317,162,2,1,1,1,2,1,2,2,2,27,20,15,13,9,9,6,17,11,9
"57",57,57,469,1,53,5,"44379","nw",1,"university","own_house"," ",4,5,4,3,4,3,3,3,3,4,5,4,3,4,4,5,5,4,4,4,5,5,5,4,4,0,0,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,0,0,0,0,1,"parttime","below_1000","married",3,1,NA,1491,128,3,1,3,2,1,3,3,3,3,21,36,16,14,11,9,8,4,11,4
"58",58,58,552,1,25,2,"97941","bw",0,"university","rented_flat"," ",3,4,3,3,4,4,2,2,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,5,5,3,0,5,4,4,3,3,3,3,3,3,3,4,3,3,4,4,4,3,2,4,4,5,4,3,3,0,0,0,0,1,"fulltime","2500_3500","married",2,1,NA,1646,222,1,2,2,2,1,1,1,2,2,26,47,21,16,22,13,22,9,14,19
"59",59,59,802,1,54,5,"37327","th",0,"fachabitur","rented_flat"," ",5,5,5,5,0,3,2,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,2,0,5,5,5,3,0,3,4,4,3,2,0,5,4,0,2,2,2,3,3,4,0,4,7,3,0,0,0,0,1,"parttime","1000_1500","single",3,1,NA,843,223,1,1,1,1,1,1,1,1,1,3,46,24,19,28,12,15,11,32,16
"60",60,60,629,1,58,5,"31860","ni",1,"realschule","own_house"," ",5,5,5,5,4,4,3,3,3,5,5,5,3,3,4,4,5,5,3,3,4,5,5,4,4,0,0,4,5,4,5,5,3,3,3,3,5,3,3,3,2,3,3,3,3,5,5,5,5,5,5,0,1,0,0,1,"fulltime","3500_5000","married",4,1,NA,550,147,2,1,1,2,1,2,2,1,2,10,16,36,8,7,25,13,8,6,6
"61",61,61,2656,0,68,6,"37574","ni",0,"university","own_house"," ",5,3,5,4,4,3,4,3,3,4,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,0,2,5,5,4,4,2,3,2,3,3,3,4,4,4,3,5,4,5,2,4,3,5,4,7,5,0,1,0,0,1,"retired","2500_3500","divorced_widowed",1,NA,NA,1561,303,2,1,2,2,1,1,2,1,2,1,55,22,19,14,25,13,30,23,20
"62",62,62,1553,0,50,5,"70736","bw",1,"hauptschule","rented_flat"," ",3,5,5,5,5,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,4,5,2,1,3,3,5,3,2,4,4,4,1,4,4,4,3,5,3,5,5,4,4,0,0,0,0,1,"unemployed","below_1000","single",1,NA,NA,353,530,1,1,2,2,1,1,1,1,2,23,76,57,40,28,108,27,27,41,26
"63",63,63,548,0,41,4,"70376","bw",1,"realschule","rented_flat"," ",5,5,5,5,5,5,2,1,5,5,5,3,5,5,5,5,4,5,5,5,5,3,5,4,5,0,0,5,2,5,5,1,1,4,2,3,2,4,4,4,1,5,5,3,1,5,1,5,5,3,2,0,0,0,0,1,"unemployed","2500_3500","married",2,1,NA,723,213,1,1,1,2,1,1,1,1,1,3,43,20,14,21,15,12,22,17,12
